model,source,dominant_topic,count,percentage
lda,tiktok,0,605,22.46
lda,tiktok,1,371,13.77
lda,tiktok,2,445,16.52
lda,tiktok,3,636,23.61
lda,tiktok,4,637,23.65
lda,youtube,0,183,19.96
lda,youtube,1,210,22.9
lda,youtube,2,191,20.83
lda,youtube,3,129,14.07
lda,youtube,4,204,22.25
nmf,tiktok,0,454,16.85
nmf,tiktok,1,1686,62.58
nmf,tiktok,2,132,4.9
nmf,tiktok,3,79,2.93
nmf,tiktok,4,343,12.73
nmf,youtube,0,138,15.05
nmf,youtube,1,623,67.94
nmf,youtube,2,9,0.98
nmf,youtube,3,9,0.98
nmf,youtube,4,138,15.05
