model,topic_i,topic_j,similarity
lda,0,1,0.13161652291868056
lda,0,2,0.05246438353683045
lda,0,3,0.13078894894879514
lda,0,4,0.12610728532936194
lda,1,2,0.47646976255882023
lda,1,3,0.20761559454787054
lda,1,4,0.1315830205684971
lda,2,3,0.17126177103924137
lda,2,4,0.05410314729857813
lda,3,4,0.08759110776171602
nmf,0,1,0.04044606875257374
nmf,0,2,0.004268009246824514
nmf,0,3,0.0007752943838179967
nmf,0,4,0.007680585088293879
nmf,1,2,0.044093890214533485
nmf,1,3,0.02259846080351081
nmf,1,4,0.08362381712902314
nmf,2,3,0.007965926788329327
nmf,2,4,0.01224114615454635
nmf,3,4,0.00422512657895808
