model,topic_id,topic_label,top_words,top_weights
lda,0,Penghentian atau evaluasi program,"rakyat, negara, stop, anggaran, benar, uang, presiden, bagus, jangan, bukan","[270.19190443960133, 147.19202450730927, 90.93417017214861, 69.16711073501351, 69.14715483043526, 67.78518707089017, 63.31070093998222, 58.83223544147916, 48.47765637219302, 45.062995284954454]"
lda,1,"Anak, sekolah, dan manfaat gizi","anak, baik, lapangan, indonesia, presiden, prabowo, masyarakat, kasih, gizi, sehat","[148.6993066842829, 114.06269435445958, 109.86758499771287, 109.04885975687586, 93.04043005534274, 84.03022325745265, 66.94895565382654, 63.118380136318244, 60.34032702726374, 59.91400072394772]"
lda,2,"Anak, sekolah, dan manfaat gizi","anak, sekolah, prabowo, desa, daerah, stunting, anak anak, ekonomi, makanan, lanjutkan","[382.69320323962063, 143.22880727105863, 108.43545092626289, 77.1936863989613, 75.19065463352717, 64.41876396102641, 60.976248210458245, 53.079732219725734, 52.061055412397785, 51.924405983810566]"
lda,3,"Implementasi dapur, menu, dan sekolah","dikorupsi, sekolah, setuju, menu, guru, dana, uang, dapur, mending, langsung","[94.19317481152909, 85.39088415617785, 78.5604335290236, 73.21585723189767, 68.19346949965397, 64.19068828682684, 63.55034345078249, 61.74295504985519, 59.545894772663175, 59.436319701107756]"
lda,4,Korupsi dan penyalahgunaan program,"korupsi, presiden, ladang, periode, jangan, kepala, uang, ladang korupsi, keras, bagus","[420.1935761722635, 141.5496452111809, 71.19825464951141, 60.19552176487565, 55.124761299327076, 54.19254805226362, 51.29983489120596, 51.19877237512934, 51.19504357554653, 49.24562639604198]"
nmf,0,Korupsi dan penyalahgunaan program,"korupsi, ladang, ladang korupsi, uang, uang korupsi, lahan, bukan, lahan korupsi, gimana, sarang korupsi","[2.9338439572056525, 0.4658706329238633, 0.4445372470463762, 0.2672823130590984, 0.19308427665863678, 0.10549459757984461, 0.10463574458220341, 0.08883441055216969, 0.08646274205649244, 0.07035342155716888]"
nmf,1,"Anak, sekolah, dan manfaat gizi","anak, prabowo, sekolah, rakyat, uang, anak anak, indonesia, kasih, baik, makanan","[1.8983211792896926, 0.9057100868018116, 0.7439601492708695, 0.6034115760253312, 0.4772132550623941, 0.4674499565796535, 0.4462678354968265, 0.42443827629040765, 0.38518427933063526, 0.38030106341948505]"
nmf,2,Penghentian atau evaluasi program,"stop, setuju, stop stop, pendidikan, dikorupsi, jangan, mending, pa, mending stop, ganti","[3.598467819340386, 0.4550303829007594, 0.24057295548688631, 0.1976484598680822, 0.1773126129987232, 0.15272119172994772, 0.14738119184312404, 0.132527306387412, 0.12021947415548227, 0.11179336769890218]"
nmf,3,Dukungan politik terhadap Prabowo,"periode, setuju, lanjutkan, prabowo, beliau, ngapain, baik, lanjutkan prabowo, ganti, mantap","[2.3672731746403515, 0.12440054034046219, 0.09124962563651282, 0.07441354437450097, 0.06956539302704418, 0.06237736159408569, 0.04509244097107042, 0.04485786607434786, 0.0384327851424926, 0.03559541938375953]"
nmf,4,Kritik terhadap presiden atau pemerintah,"presiden, rakyat, ganti, indonesia, ganti presiden, hentikan, salah, keras, omon, sehat","[2.491260445732677, 0.30453850597053767, 0.22502373963659975, 0.2180842288712789, 0.1639872652433864, 0.13096366894104725, 0.10720859613800197, 0.09954775543068242, 0.0916610724526062, 0.0905226670320876]"
